t,inp,resp,fit
0.64,11.9999998737101,2.01989626170289,3.51602458380405
0.66,11.9999996520442,4.96409125612368,5.61869447682272
0.68,11.9999995295533,6.79285696402124,7.16363294460431
0.7,11.9999999437126,7.78748042668829,8.2987777881881
0.72,12.000000409051,8.82077423285153,9.13282639247203
0.74,11.9999999590541,9.49615693159357,9.74564426131555
0.76,11.9999996196838,9.81859956187181,10.1959126142873
0.78,11.999999897554,9.99591530986629,10.5267475940842
0.8,12.0000000243732,10.0925075228421,10.7698288316031
0.82,11.9999997971422,10.1727246392965,10.948433071877
0.84,12.0000002143939,10.5738657876277,11.0796627993157
0.86,12.0000004327149,10.6833526385625,11.1760838336755
0.88,12.0000004103058,10.8460235435148,11.2469291806752
0.9,12.000000297186,10.9502669646212,11.2989829268642
0.92,11.9999998307773,11.0830750328349,11.3372294909795
0.94,12.0000000547603,11.2401695077666,11.365331127365
0.96,12.0000001303626,11.2943085428621,11.385978932927
0.98,12.0000000386384,11.3366163034419,11.4011499799557
1,12.0000000203549,11.4051468442381,11.4122969133401
1.02,12.0000000868603,11.4326631796123,11.420487103031
1.04,12.0000002119423,11.4326631796123,11.4265047335447
1.06,12.0000001030936,11.5084081891962,11.4309262490774
1.08,12.0000000031594,11.5478330040991,11.4341749803077
1.1,11.9999999939706,11.571822413552,11.4365619650011
1.12,11.999999960163,11.5949831965397,11.4383157993071
1.14,11.9999996582863,11.6083913595114,11.4396044473013
1.16,12.0000000100947,11.6105386137993,11.4405513140938
1.18,12.0000004923006,11.5962899525683,11.4412469977017
1.2,12.000000162249,11.5701378408075,11.4417581265168
1.22,11.9999998864408,11.5581556690234,11.4421336765022
1.24,11.9999996886519,11.5625534461145,11.4424096036057
1.26,11.9999996886519,11.5194566227936,11.4426122649109
1.28,11.9999999474559,11.5216908622317,11.4427612594552
1.3,12.000000171509,11.4986326930815,11.4428708552866
1.32,11.9999999447867,11.4940987242529,11.4429512974286
1.34,12.0000000574515,11.4940280532826,11.4430103325942
1.36,11.9999995466344,11.4563971664087,11.4430536587008
