t,inp,resp
2.88,-22.8427491771708,-22.8012686672528
2.9,-22.8766343364674,-22.8012859779866
2.92,-22.9074547665828,-22.8013001038539
2.94,-22.938114299409,-22.8013116180432
2.96,-22.9585903551751,-22.8013209882861
2.98,-22.9821677514224,-22.801328617634
3,-23.0045027891687,-22.8013348179118
3.02,-23.0297524162317,-22.8013399928362
3.04,-23.0626339541028,-22.801344264492
3.06,-23.084096882369,-22.8013476921085
3.08,-23.1021455710106,-22.801350681483
3.1,-23.1240131692051,-22.8013530746209
3.12,-23.1438314191405,-22.8013549580967
3.14,-23.165393347678,-22.8013563995401
3.16,-23.1872123289018,-22.801357432524
3.18,-23.2089091982729,-22.8013583369248
3.2,-23.2226261987532,-22.8013591978671
3.22,-23.2367365071421,-22.8013598669158
3.24,-23.2569207081455,-22.801360362628
3.26,-23.278846731409,-22.8013607671379
3.28,-23.2964805779142,-22.8013611884742
3.3,-23.3086934088716,-22.8013616691656
3.32,-23.3189359871785,-22.80136200317
3.34,-23.331065706374,-22.8013622465989
3.36,-23.3446083002261,-22.8013624163721
3.38,-23.3575863058646,-22.8013623805486
3.4,-23.3691552001483,-22.8013623892991
3.42,-23.3834388981501,-22.8013624534142
3.44,-23.4010100006397,-22.8013625838118
3.46,-23.4172664031534,-22.8013628073365
3.48,-23.429273874688,-22.8013629568541
3.5,-23.4372997510341,-22.8013630295392
3.52,-23.4444684986087,-22.8013630802431
3.54,-23.4543606956691,-22.8013631087057
3.56,-23.467012074795,-22.8013631319316
3.58,-23.4798696139113,-22.8013631342172
3.6,-23.4896859741126,-22.8013631110815
3.62,-23.4961815626043,-22.8013630714717
3.64,-23.5034870341865,-22.8013630080537
3.66,-23.5126357249735,-22.8013629771502
3.68,-23.5215202996683,-22.8013630038006
3.7,-23.5308333938581,-22.801363032049
3.72,-23.5413054359121,-22.8013630185058
3.74,-23.5525135403762,-22.8013629823588
3.76,-23.564915910158,-22.801362915219
3.78,-23.5754244378286,-22.8013629679749
3.8,-23.5836842525207,-22.8013631723395
3.82,-23.5905223437133,-22.8013632478215
3.84,-23.5969084751244,-22.8013631724913
3.86,-23.6052146215162,-22.8013630286899
3.88,-23.6154994874069,-22.8013627878496
3.9,-23.625593352182,-22.8013625913196
3.92,-23.6332363815942,-22.8013624927062
3.94,-23.6394386786897,-22.8013625048737
3.96,-23.6449763700326,-22.8013625320065
3.98,-23.6497383463272,-22.8013625885551
4,-23.6558497250729,-22.8013626394243
4.02,-23.6636965604595,-22.8013627289178
4.04,-23.6727560347877,-22.8013629050774
4.06,-23.6809927352632,-22.8013631115068
4.08,-23.6869159519519,-22.8013632180954
4.1,-23.6905947126341,-22.8013632122814
4.12,-23.6933192226421,-22.8013631588173
