t,inp,resp,fit
3.48,11.9999995937881,10.1574189101599,9.04917044082994
3.5,11.9999998124714,10.3960891500087,9.55003743093353
3.52,11.9999999651534,10.6206324280657,9.93876690620387
3.54,12.0000000688034,10.822639587305,10.2404650386732
3.56,12.0000001678089,10.8527565084053,10.4746169803864
3.58,12.0000002098623,10.9637144402238,10.6563453886459
3.6,12.0000002322098,11.0341797003682,10.7973872484091
3.62,12.0000004218974,11.0664050388987,10.9068517677353
3.64,12.000000429153,11.0720229346406,10.9918086770197
3.66,11.9999998074036,11.1598238530675,11.057744892127
3.68,12.0000001469041,11.2412389273272,11.1089188911735
3.7,12.0000002690142,11.3090974811048,11.1486357249525
3.72,12.0000001484175,11.4218357385172,11.1794604954206
3.74,12.0000001350875,11.4469026344175,11.2033840518915
3.76,11.9999996266554,11.4194902704056,11.2219514454858
3.78,11.999999688552,11.4044525258833,11.2363617170024
3.8,11.9999999608404,11.3591134062376,11.2475457928997
3.82,12.0000000839991,11.2617416560326,11.2562259294624
3.84,12.0000001388472,11.1880767885078,11.2629626741193
3.86,12.0000001083489,11.0437897399725,11.2681911489198
3.88,12.000000204885,11.0222319590169,11.2722489310629
3.9,12.0000001714785,10.9552803569232,11.2753982430757
3.92,12.0000000181995,10.9144006424764,11.2778425235753
3.94,11.9999998757777,10.9167776189245,11.2797395882881
3.96,11.999999748205,10.9409898569767,11.2812119371273
3.98,12.0000003207327,10.9527621559835,11.2823546403267
4,12.0000000664181,10.9482969596088,11.2832415278868
4.02,12.000000155187,10.9799545797642,11.2839298461467
4.04,12.0000002045929,11.0079561230727,11.2844640268757
4.06,12.0000000978887,11.025865808038,11.2848785816923
4.08,12.0000000228488,11.0656772656749,11.2852002963654
4.1,12.0000000086256,11.1204628326254,11.2854501039829
4.12,11.9999999253852,11.1396460940743,11.2856439294637
4.14,11.9999999453412,11.1717677676406,11.2857943787032
4.16,12.0000001298085,11.251368166654,11.2859111547732
4.18,11.9999999524298,11.3201459904194,11.2860017637737
4.2,12.0000002319131,11.348412353934,11.2860720708294
4.22,12.0000003031663,11.3631383397367,11.2861266340803
4.24,11.9999997276896,11.2821764344552,11.2861689638209
4.26,11.9999998665122,11.3260142348211,11.2862018207008
4.28,11.9999999749753,11.3385457812838,11.2862273602081
4.3,11.999999904264,11.3105695909587,11.2862471444104
4.32,11.9999995666141,11.2664266593115,11.2862625580455
4.34,11.9999994592588,11.2985280232498,11.2862745357776
4.36,11.9999997313254,11.3315468755027,11.2862837106768
4.38,11.9999998329028,11.3506438337097,11.2862908606709
4.4,11.9999997361553,11.3805158034414,11.286296432716
4.42,11.9999996788049,11.4080695470053,11.286300742365
4.44,11.999999950991,11.360911459122,11.2863040160419
4.46,12.0000001085168,11.4225908748323,11.2863065341803
4.48,12.000000222455,11.4191770555672,11.2863085458306
4.5,12.0000003540753,11.3170853943746,11.2863101284886
4.52,12.0000003334632,11.2734553858784,11.2863113364384
4.54,12.000000307333,11.2881696951237,11.2863122618681
4.56,12.0000002508104,11.371087135821,11.2863130374209
4.58,12.0000001150955,11.3882176780229,11.2863136725083
4.6,12.0000000374139,11.398758175541,11.2863141894002
4.62,12.000000256902,11.4243745878378,11.2863146182824
4.64,12.0000002593219,11.4397103583193,11.2863149468033
4.66,11.9999996618446,11.440537812925,11.2863151962704
4.68,11.9999998767591,11.4361758834128,11.2863153779832
4.7,12.0000001223043,11.4447120785016,11.2863154904353
4.72,12.000000375554,11.4494633698563,11.2863155613533
4.74,12.0000000086531,11.4456602671703,11.2863156626116
4.76,11.9999999081777,11.4520148679294,11.2863157417091
4.78,11.9999996487816,11.4973563380025,11.2863156772862
4.8,11.9999997767328,11.4396674525436,11.2863156725415
4.82,12.0000000226256,11.5061215643679,11.2863157205639
4.84,12.0000000342201,11.5639417703076,11.2863158111618
4.86,12.0000000462191,11.4628279215207,11.2863158042172
4.88,11.9999998579823,11.4516703138316,11.2863157776703
4.9,11.9999996030246,11.487232514137,11.2863157024454
4.92,12.0000000682235,11.4614885480284,11.2863156710053
4.94,12.000000047798,11.4601756257954,11.2863156983821
4.96,12.0000000486871,11.4570248643094,11.2863157220711
4.98,12.0000000680739,11.3660486337166,11.2863157429831
5,11.9999998487277,11.3671896099009,11.2863157195759
5.02,11.9999997995629,11.3455933855375,11.2863156477225
5.04,12.0000000392295,11.3459405984339,11.2863156899136
5.06,11.9999999796056,11.357994262983,11.2863157183577
5.08,11.999999704006,11.3218295300754,11.2863157406208
5.1,11.9999997764453,11.379301319423,11.2863157619817
5.12,11.9999998717968,11.3299048491948,11.2863157323722
5.14,11.9999999363071,11.2802010319455,11.2863156990392
5.16,11.9999999496981,11.2689795858493,11.2863157236359
5.18,11.999999969153,11.269882817192,11.2863157301707
5.2,12.0000003676635,11.2584909838364,11.286315677209
5.22,12.0000003260157,11.2800133477523,11.2863156513584
5.24,12.0000001517105,11.3095989522511,11.2863156513737
5.26,11.99999992487,11.3321518840757,11.2863156649696
5.28,11.9999999486942,11.3535603857745,11.2863156783413
5.3,12.0000000958211,11.3360857591393,11.2863156928159
5.32,11.999999679191,11.3734527695299,11.2863157879647
5.34,11.9999996797082,11.3679503897601,11.2863158530411
5.36,11.9999996830564,11.3565294678321,11.2863158668441
5.38,11.9999998118152,11.3385515519633,11.2863158297907
5.4,11.9999999383357,11.3118362472069,11.2863158060498
5.42,11.999999789311,11.2881920039721,11.2863158186048
5.44,11.9999999856439,11.295662687406,11.2863157406186
5.46,12.0000003242615,11.2999884590977,11.2863156802014
5.48,12.0000000730137,11.2215497134739,11.2863156340158
5.5,11.9999998145824,11.2087644858395,11.2863156252835
5.52,11.999999852952,11.1644939345063,11.2863156451478
5.54,12.0000002344915,11.1967309464752,11.2863156291844
5.56,12.0000006574693,11.2785647865111,11.2863156581371
5.58,11.9999997095505,11.2809768924997,11.2863157519108
5.6,11.9999997053822,11.2279807863593,11.2863157717842
5.62,12.0000003133387,11.1920672765599,11.2863157327901
5.64,12.0000002230656,11.2493128618966,11.2863157106057
5.66,11.9999997687826,11.2708459578358,11.2863157737294
5.68,11.9999994125835,11.3051236874353,11.2863159117875
5.7,11.9999999029618,11.3688885710156,11.2863158193318
5.72,12.0000000045324,11.3948747301277,11.286315746698
5.74,11.9999995849625,11.4573002301212,11.286315818344
5.76,11.9999993384148,11.4769150032231,11.2863158549406
5.78,11.9999993411648,11.4287484125377,11.2863157876847
5.8,11.9999998813403,11.4370273648534,11.2863156604813
5.82,12.0000000009919,11.3830196385792,11.2863156650165
5.84,8.41229649242187,11.3690051591517,11.2863156899243
5.86,-12.0000001018981,11.3674339456561,11.2863156209061
5.88,-12.0000001018981,11.373628381423,11.2863155154243
5.9,-11.9999998767722,11.1502939913268,11.2863154341376
5.92,-11.999999715197,10.3007113885247,11.2863154847953
5.94,-11.999999801879,8.75968062261631,11.2863155493066
5.96,-12.0000002749141,7.23800623992284,10.5308483306088
5.98,-12.0000001324155,4.68648292524536,5.64627699081821
6,-11.9999999274973,3.20299444664037,1.85529586084952
6.02,-11.9999998483688,-1.05475197632468,-1.08693523712879
6.04,-11.9999998015043,-3.98287505748922,-3.37044009975461
6.06,-11.99999979018,-5.56257407894901,-5.1426987753612
6.08,-11.9999998159734,-7.08262998820165,-6.51817253054159
6.1,-11.9999998096255,-8.14764437281332,-7.5856960738281
6.12,-11.9999999831588,-8.98205301324457,-8.41421532681978
6.14,-11.9999998801654,-9.62626734151529,-9.05724018079891
6.16,-11.9999998967762,-9.96483651505897,-9.55630035819368
6.18,-11.9999999713282,-10.0780311965127,-9.94362763257759
6.2,-12.0000000009374,-10.2885755998228,-10.2442375147345
6.22,-12.0000000207311,-10.4647536140221,-10.4775448624901
6.24,-12.0000000767016,-10.559875002103,-10.6586178512512
6.26,-12.000000090361,-10.7887550332245,-10.7991509973257
6.28,-12.0000000931666,-10.8516580302739,-10.9082206546053
6.3,-12.0000004383568,-11.0185024559889,-10.9928710897236
6.32,-11.9999999053743,-11.1414526076366,-11.0585694305416
6.34,-11.999999726901,-11.2253479702336,-11.1095587954919
6.36,-12.0000000474251,-11.2645404080756,-11.1491323352106
6.38,-12.0000001713878,-11.2904100530107,-11.179845891413
6.4,-11.9999999703554,-11.3178883173933,-11.2036830936532
6.42,-11.999999443398,-11.3571039244692,-11.2221835377337
6.44,-11.9999995491793,-11.3883450847875,-11.2365418675291
6.46,-11.9999996549605,-11.3554188197598,-11.2476855216918
6.48,-11.9999997607417,-11.3766324411971,-11.256334328186
6.5,-12.0000001223814,-11.3598601360725,-11.263046808655
6.52,-12.0000000301493,-11.3362621287421,-11.2682564121701
6.54,-11.9999996175114,-11.3533282748137,-11.2722995441554
6.56,-11.9999999343762,-11.3721699453432,-11.2754374952256
6.58,-12.0000004902855,-11.3242479978892,-11.2778729232843
6.6,-12.000000253034,-11.1798748103153,-11.2797631138399
6.62,-12.0000000444018,-11.1840468328209,-11.2812301921555
