,x,y
344,-8.7653,1.1636
345,-8.7383,1.2116
346,-8.7109,1.2593
347,-8.6833,1.3063
348,-8.6552,1.3531
349,-8.6266,1.3999
350,-8.5977,1.4461
351,-8.5684,1.4921
352,-8.539,1.5374
353,-8.5091,1.5823
354,-8.479,1.6266
355,-8.4483,1.6708
356,-8.4172,1.7143
357,-8.3862,1.7567
358,-8.3548,1.7986
359,-8.3229,1.8402
360,-8.2898,1.8819
361,-8.2561,1.9235
362,-8.2219,1.9643
363,-8.187,2.0047
364,-8.1517,2.0444
365,-8.1154,2.0839
366,-8.0787,2.1228
367,-8.0411,2.1614
368,-8.0029,2.1995
369,-7.9636,2.2373
370,-7.9235,2.2747
371,-7.8821,2.3121
372,-7.8395,2.3491
373,-7.7962,2.3856
374,-7.7517,2.4217
375,-7.706,2.4574
376,-7.6589,2.4928
377,-7.6105,2.5279
378,-7.5606,2.5627
379,-7.5097,2.597
380,-7.4576,2.6308
381,-7.4047,2.6639
382,-7.3507,2.6964
383,-7.2952,2.7286
384,-7.2389,2.7599
385,-7.1816,2.7907
386,-7.1226,2.821
387,-7.0625,2.8506
388,-7.001,2.8797
389,-6.9384,2.9081
390,-6.8743,2.9358
391,-6.8094,2.9626
392,-6.7441,2.9885
393,-6.678,3.0135
394,-6.6111,3.0375
395,-6.5425,3.0607
396,-6.473,3.0829
397,-6.4036,3.1039
398,-6.3336,3.1238
399,-6.2637,3.1427
400,-6.1934,3.1606
401,-6.1232,3.1772
402,-6.0526,3.1927
403,-5.9823,3.207
404,-5.9116,3.2202
405,-5.8411,3.2323
406,-5.77,3.2432
407,-5.6989,3.2531
408,-5.6283,3.2619
409,-5.5579,3.2697
410,-5.4875,3.2764
411,-5.4169,3.2817
412,-5.3463,3.2857
413,-5.2755,3.2883
414,-5.205,3.2897
415,-5.1347,3.2899
416,-5.0641,3.289
417,-4.9938,3.2866
418,-4.9237,3.283
419,-4.8546,3.2783
420,-4.7861,3.2723
421,-4.7177,3.2652
422,-4.6497,3.2568
423,-4.5817,3.2468
424,-4.5142,3.2356
425,-4.4465,3.2229
426,-4.3794,3.209
427,-4.3134,3.1941
428,-4.2478,3.178
429,-4.1828,3.1608
430,-4.1188,3.1429
431,-4.0553,3.1241
432,-3.9923,3.1042
433,-3.9293,3.0831
434,-3.8668,3.061
435,-3.8042,3.0378
436,-3.7428,3.0139
437,-3.6831,2.9899
438,-3.6245,2.9653
439,-3.5673,2.9405
440,-3.5109,2.9149
441,-3.4554,2.8889
442,-3.4,2.8615
443,-3.3451,2.8333
444,-3.2911,2.8046
445,-3.2375,2.775
446,-3.1846,2.7451
447,-3.1328,2.7151
448,-3.0815,2.6847
449,-3.031,2.654
450,-2.9808,2.6228
451,-2.9311,2.5914
452,-2.8819,2.5595
453,-2.8338,2.5274
454,-2.7864,2.4951
455,-2.7399,2.4632
456,-2.6941,2.4311
457,-2.6494,2.3992
458,-2.6055,2.3672
459,-2.5627,2.3354
460,-2.5205,2.3033
461,-2.4793,2.2713
462,-2.4382,2.2387
463,-2.3976,2.2062
464,-2.3577,2.1739
465,-2.3184,2.1413
466,-2.2796,2.1088
