,x,y,r
370,0.63553,-1.5812,0.325
371,0.71127,-1.6314,0.325
372,0.78663,-1.6793,0.325
373,0.86221,-1.7246,0.325
374,0.93839,-1.7671,0.325
375,1.0158,-1.8067,0.325
376,1.0944,-1.8428,0.325
377,1.1743,-1.8754,0.325
378,1.2547,-1.904,0.325
379,1.3358,-1.9284,0.325
380,1.4172,-1.9487,0.325
381,1.4987,-1.965,0.325
382,1.5804,-1.977,0.325
383,1.6627,-1.9845,0.325
384,1.7457,-1.9878,0.325
385,1.83,-1.9868,0.325
386,1.9152,-1.9823,0.325
387,2.0009,-1.9749,0.325
388,2.0875,-1.9652,0.325
389,2.1751,-1.9538,0.325
390,2.2644,-1.9413,0.325
391,2.3547,-1.9286,0.325
392,2.4448,-1.9169,0.325
393,2.5347,-1.9069,0.325
394,2.624,-1.8996,0.325
395,2.7125,-1.8953,0.325
396,2.799,-1.8955,0.325
397,2.8837,-1.9004,0.325
398,2.9655,-1.9101,0.325
399,3.0442,-1.9248,0.325
400,3.1195,-1.9446,0.325
401,3.1913,-1.9691,0.325
402,3.2597,-1.9983,0.325
403,3.3248,-2.0315,0.325
404,3.3863,-2.0691,0.325
405,3.4436,-2.1111,0.325
406,3.4975,-2.1576,0.325
407,3.5489,-2.2076,0.325
408,3.5984,-2.2613,0.325
409,3.6459,-2.318,0.325
410,3.6914,-2.3767,0.325
411,3.7352,-2.4365,0.325
412,3.7777,-2.4964,0.325
413,3.8206,-2.556,0.325
414,3.8655,-2.6145,0.325
415,3.9119,-2.6714,0.325
416,3.9605,-2.7264,0.325
417,4.0107,-2.7791,0.325
418,4.0618,-2.8291,0.325
419,4.1147,-2.8758,0.325
420,4.1689,-2.9193,0.325
421,4.2249,-2.96,0.325
422,4.2827,-2.9975,0.325
423,4.3411,-3.0318,0.325
424,4.4002,-3.0633,0.325
425,4.4597,-3.0919,0.325
426,4.52,-3.1174,0.325
427,4.5807,-3.1401,0.325
428,4.6423,-3.16,0.325
429,4.7055,-3.1775,0.325
430,4.7701,-3.1929,0.325
431,4.8359,-3.2062,0.325
432,4.9021,-3.2176,0.325
433,4.9683,-3.2277,0.325
434,5.0348,-3.2368,0.325
435,5.1021,-3.2444,0.325
436,5.1704,-3.2506,0.325
437,5.2402,-3.2555,0.325
438,5.311,-3.2593,0.325
439,5.3825,-3.262,0.325
440,5.454,-3.2638,0.325
441,5.5254,-3.2649,0.325
442,5.5972,-3.2652,0.325
443,5.6706,-3.2643,0.325
444,5.7449,-3.2625,0.325
445,5.8197,-3.2599,0.325
446,5.8951,-3.2566,0.325
447,5.9715,-3.2522,0.325
448,6.049,-3.2466,0.325
449,6.1276,-3.24,0.325
450,6.2067,-3.2327,0.325
451,6.2867,-3.2247,0.325
452,6.3688,-3.215,0.325
453,6.453,-3.2036,0.325
454,6.5396,-3.1906,0.325
455,6.6281,-3.1762,0.325
456,6.7187,-3.1602,0.325
457,6.8119,-3.1425,0.325
458,6.9072,-3.1235,0.325
