t,inp,resp
1.34,-2.78400003769855,-2.67414392776529
1.36,-2.78400005103738,-2.67325883301897
1.38,-2.78400011773156,-2.67160490980252
1.4,4.75199984752724,-2.67525185801095
1.42,4.75200003667732,-2.68117286722097
1.44,4.75200003667732,-2.65498222216204
1.46,4.75200006422634,-2.3139662174265
1.48,4.75200006941752,-1.48441579943835
1.5,4.75199981955767,-0.571655536749538
1.52,4.75199984478157,0.523957977496171
1.54,4.75199997090106,1.40302847491066
1.56,4.75199997090106,1.72214985821894
1.58,4.75199997036026,2.08376137452605
1.6,4.75199997036026,2.4937878762286
1.62,4.75200021964181,2.89778089358297
1.64,4.75200021964181,3.44121339074232
1.66,4.752000065077,3.64027782053659
1.68,4.752000065077,3.70854207431123
1.7,4.75200006268033,3.69987342447121
1.72,4.75200005069695,3.77556896348398
1.74,4.7520000248216,3.88841972035787
1.76,4.75199989544484,4.06632548573222
1.78,4.75199993735692,4.12592605218175
1.8,4.75200007068884,4.1161235181012
1.82,4.75199989910691,4.06941055589194
1.84,4.75200010960212,4.05122196266334
1.86,4.75200010960212,4.10897806793042
1.88,4.75199986718047,4.16902735599278
1.9,4.75199986718047,4.21705926758275
1.92,4.75199987001275,4.21726058161165
1.94,4.75199987001275,4.19239220760698
1.96,4.7520000170774,4.18505995717223
1.98,4.7520000170774,4.22567997831259
2,4.7520000365525,4.26401182811094
2.02,4.7520001144529,4.2958467001638
2.04,4.7520001144529,4.30153684258873
2.06,4.75199999800396,4.29019467930459
2.08,4.75200000606658,4.2907078111503
2.1,4.75200004916339,4.31350611821334
2.12,4.75200002745933,4.34857437962487
2.14,4.75199994064309,4.37003743056919
2.16,4.7519999384772,4.3752995261917
2.18,4.75199992981364,4.37091839175388
2.2,4.75199992981364,4.37089939559525
2.22,4.75199995822589,4.38683336043501
2.24,4.75200010028714,4.40781467798483
2.26,4.75200006728253,4.42619975462386
2.28,4.75199993526409,4.43841570856094
2.3,4.75199991810139,4.44427813520937
2.32,4.75199992037642,4.45076640264729
2.34,4.75200015952074,4.45860158224587
2.36,4.75199998128516,4.47006881692961
2.38,4.75199998214619,4.48080154676629
2.4,4.75199998559029,4.48808006552611
2.42,4.76639996179726,4.49600084717757
2.44,4.82399986662522,4.50072128450034
2.46,4.82399989411957,4.50567799169606
2.48,4.82400002077736,4.51357475532841
2.5,4.82400005290873,4.52168193311068
2.52,4.82399991454821,4.5370284529845
2.54,4.82399997207205,4.55072078395805
2.56,4.82400020216742,4.56354532113943
2.58,4.82400018584143,4.57133841829303
2.6,4.82400012053747,4.5829526974093
2.62,4.82400010974009,4.59648655422017
2.64,4.82400006655058,4.60834441330228
2.66,4.82400006655058,4.6184697889367
2.68,4.82400007558893,4.62383983990249
2.7,4.8240001117423,4.62815414794593
2.72,4.82400010527625,4.63233596297617
2.74,4.82400005173941,4.6364451654421
2.76,4.82399993591657,4.6444189385205
2.78,4.82399991538805,4.65137393909475
2.8,4.8239999805489,4.65720407377959
2.82,4.8240002411923,4.66242153093512
2.84,4.82400018889311,4.66464898764831
2.86,4.82399997969635,4.66606790978418
2.88,4.82399997050228,4.66881743296096
2.9,4.82399993372601,4.67458563376728
2.92,4.82399993372601,4.68140106263166
2.94,4.82399993511029,4.68299116332411
2.96,4.82399994064738,4.68211921101246
2.98,4.8239999571919,4.68233224800639
3,4.82400004164348,4.68742555142308
3.02,4.82400009687753,4.69654776775458
3.04,4.82400002543718,4.70234417489986
3.06,4.82399999937505,4.70330108382197
3.08,4.82399989512652,4.69867093644447
3.1,4.82399992033777,4.6967283978945
3.12,4.82400004639398,4.7019173148628
3.14,4.82400005539127,4.7076353569914
3.16,4.82400009138044,4.71455345001878
3.18,4.82400009138044,4.71518159068306
3.2,4.82400006695623,4.71136900963192
3.22,4.82399996925943,4.7102161552151
3.24,4.82399997496442,4.7116561117633
3.26,4.82399999778442,4.71565817211896
3.28,4.82399996738861,4.71999301863321
3.3,4.82399987240292,4.72143052368475
3.32,4.8239999787932,4.71833723820374
3.34,4.82399996246938,4.71560593925595
3.36,4.82399989717409,4.71980109602294
3.38,4.82399989717409,4.72645707517798
3.4,4.82399990618242,4.72886067894189
3.42,4.82399994221575,4.72954054522946
3.44,4.82399995689917,4.72956462062889
3.46,2.82720000357161,4.73081525678453
3.48,-5.16000007501201,4.73278896475972
3.5,-5.16000019634573,4.73412508584473
3.52,-5.16000019634573,4.67863846375664
3.54,-5.16000013200002,4.22914320259313
3.56,-5.15999990123723,3.11865084029429
3.58,-5.16000000771736,1.67605710413129
3.6,-5.15999998382504,0.319585080690507
3.62,-5.15999988825577,-0.614107194487083
3.64,-5.15999988825577,-1.14383673625822
3.66,-5.15999988907297,-1.56809103276816
3.68,-5.15999989234174,-2.1147845159343
3.7,-5.1599999176969,-2.77606183421127
3.72,-5.16000001911751,-3.34575674619489
3.74,-5.15999999307548,-3.65007943892089
3.76,-5.15999988890738,-3.72270252075163
3.78,-5.15999987080645,-3.7355242170031
3.8,-5.15999979840274,-3.83867966186302
3.82,-5.15999979840274,-4.03951129604935
3.84,-5.1599998368049,-4.22665945986101
3.86,-5.16000003797998,-4.30240082369783
3.88,-5.16000027581209,-4.26610910271392
3.9,-5.16000027581209,-4.21749665020518
3.92,-5.15999982247814,-4.23755307598416
3.94,-5.15999982247814,-4.31411610474134
3.96,-5.15999982247814,-4.39928310902487
3.98,-5.16000005668279,-4.42757148597006
4,-5.16000005668279,-4.41374847171876
4.02,-5.16000006345472,-4.39136077537215
4.04,-5.16000006345472,-4.40574095785588
4.06,-5.15999981197882,-4.44619242177764
4.08,-5.15999981197882,-4.49970017895249
4.1,-5.15999982606805,-4.5231356269491
4.12,-5.1599998965142,-4.52380999416572
4.14,-5.15999994299014,-4.52081596588831
4.16,-5.15999994299014,-4.53417632747935
4.18,-5.15999970784642,-4.5704430112174
4.2,-5.15999970784642,-4.60439615069417
4.22,-5.15999970784642,-4.6235358063013
4.24,-5.15999988830374,-4.62874276826842
4.26,-5.15999988830374,-4.63239686432149
4.28,-5.1600000963312,-4.64411078046151
4.3,-5.1600000963312,-4.6653890522774
4.32,-5.15999987985646,-4.68805990455588
4.34,-5.15999987985646,-4.70160258556553
4.36,-5.15999987985646,-4.70859407826015
4.38,-5.16000035181801,-4.71544489822515
4.4,-5.1599997492092,-4.73012847672989
4.42,-5.15999979929717,-4.74806994199107
4.44,-5.16000004973699,-4.76425595817983
4.46,-5.16000004973699,-4.77301997614299
4.48,-5.16000004973699,-4.77616209521054
4.5,-5.16000026750224,-4.78109256958337
4.52,-5.92799971978114,-4.79319011529713
4.54,-5.92799991800178,-4.80889974661338
