,x,y
100,5.4833,3.0334
101,5.4267,3.0314
102,5.37,3.0287
103,5.3129,3.0251
104,5.2557,3.0207
105,5.1979,3.0155
106,5.1403,3.0097
107,5.0833,3.0034
108,5.0265,2.9963
109,4.97,2.9884
110,4.9131,2.9796
111,4.856,2.97
112,4.7992,2.9597
113,4.7419,2.9485
114,4.6847,2.9365
115,4.6278,2.924
116,4.5712,2.9109
117,4.5151,2.8971
118,4.4591,2.8827
119,4.4034,2.8676
120,4.3478,2.8517
121,4.2927,2.8351
122,4.2379,2.8177
123,4.1839,2.7998
124,4.1307,2.7812
125,4.0783,2.7621
126,4.0264,2.7425
127,3.9754,2.7224
128,3.9248,2.7014
129,3.8749,2.6799
130,3.8251,2.6575
131,3.7754,2.6343
132,3.7253,2.6102
133,3.6752,2.5852
134,3.6252,2.5595
135,3.5751,2.5329
136,3.525,2.5058
137,3.4758,2.4785
138,3.4278,2.4513
139,3.3803,2.4235
140,3.3332,2.3952
141,3.286,2.366
142,3.2395,2.3367
143,3.194,2.3073
144,3.1488,2.2772
145,3.1041,2.2468
146,3.0595,2.2156
147,3.0156,2.1843
148,2.9728,2.1532
149,2.9303,2.1218
150,2.8882,2.0902
151,2.8458,2.0578
152,2.8032,2.0247
153,2.7609,1.9914
154,2.7195,1.9582
155,2.6784,1.9244
156,2.6378,1.8904
157,2.598,1.8567
158,2.5584,1.8229
159,2.5192,1.7892
160,2.4798,1.7548
161,2.4407,1.7201
162,2.4025,1.6857
163,2.3651,1.6511
164,2.3283,1.6168
165,2.2917,1.5826
166,2.2557,1.5484
167,2.22,1.5144
168,2.1848,1.4805
169,2.1498,1.4464
170,2.1153,1.4126
171,2.0808,1.3785
172,2.0466,1.3446
173,2.0129,1.3108
174,1.9792,1.2765
175,1.9458,1.2424
176,1.9132,1.2087
177,1.8808,1.1745
178,1.8486,1.1402
179,1.8167,1.1062
180,1.7844,1.0713
181,1.7517,1.0356
182,1.7194,1.0003
183,1.6875,0.96534
184,1.6552,0.92957
185,1.6228,0.89349
186,1.5904,0.85748
187,1.5575,0.82086
188,1.5248,0.78445
189,1.4927,0.74862
190,1.4605,0.7124
191,1.4289,0.67656
192,1.3979,0.64141
193,1.3667,0.60591
194,1.3356,0.57043
195,1.3052,0.53552
196,1.2748,0.50013
197,1.2445,0.46489
198,1.2145,0.42987
199,1.1841,0.3941
200,1.1535,0.35794
201,1.1232,0.32224
202,1.0931,0.28677
203,1.0627,0.25109
204,1.0321,0.21554
205,1.0015,0.1805
206,0.97036,0.14531
207,0.93904,0.11016
208,0.90794,0.075069
209,0.8766,0.039671
210,0.84553,0.0040389
211,0.81501,-0.030895
212,0.78453,-0.065778
213,0.75412,-0.10025
214,0.72341,-0.1348
215,0.69266,-0.16937
216,0.66148,-0.20449
217,0.6304,-0.23938
218,0.59969,-0.27345
219,0.56889,-0.30739
220,0.53798,-0.3415
221,0.50659,-0.3761
222,0.475,-0.41043
223,0.44365,-0.44445
224,0.41205,-0.47872
225,0.38038,-0.5131
226,0.34887,-0.54701
227,0.31701,-0.58133
228,0.28487,-0.616
229,0.25289,-0.65034
230,0.22124,-0.68418
231,0.1893,-0.7186
232,0.15697,-0.75337
233,0.12439,-0.78792
234,0.091795,-0.82195
235,0.058388,-0.85625
236,0.024664,-0.89047
237,-0.0084943,-0.9239
238,-0.0411,-0.95619
239,-0.074077,-0.98827
240,-0.10686,-1.02
241,-0.13916,-1.0515
242,-0.17186,-1.0839
243,-0.20454,-1.1163
244,-0.23682,-1.1477
245,-0.26943,-1.1794
246,-0.30199,-1.2105
247,-0.33424,-1.2415
248,-0.36714,-1.2734
249,-0.40037,-1.3053
250,-0.43373,-1.3372
251,-0.46829,-1.3694
252,-0.50384,-1.4017
253,-0.53975,-1.4339
254,-0.57553,-1.4657
255,-0.61063,-1.497
256,-0.64598,-1.5283
257,-0.68144,-1.5596
258,-0.71667,-1.5905
259,-0.75259,-1.6217
260,-0.78886,-1.6527
