,x,y
360,-9.2399,-0.040264
361,-9.2271,0.020691
362,-9.2133,0.080845
363,-9.1982,0.14085
364,-9.1821,0.20001
365,-9.1653,0.25775
366,-9.1475,0.31514
367,-9.1284,0.37272
368,-9.1083,0.42987
369,-9.0872,0.487
370,-9.0653,0.54355
371,-9.0425,0.59997
372,-9.0191,0.65545
373,-8.9956,0.70951
374,-8.9717,0.76287
375,-8.9472,0.81553
376,-8.9221,0.86812
377,-8.8965,0.9201
378,-8.8707,0.97099
379,-8.8447,1.0212
380,-8.8185,1.0705
381,-8.7921,1.1192
382,-8.7655,1.167
383,-8.7387,1.2144
384,-8.7113,1.2616
385,-8.6837,1.3081
386,-8.6557,1.3544
387,-8.627,1.4006
388,-8.5981,1.4464
389,-8.5687,1.4919
390,-8.5392,1.5367
391,-8.5092,1.5811
392,-8.479,1.625
393,-8.4481,1.6688
394,-8.417,1.7119
395,-8.3858,1.7542
396,-8.3543,1.796
397,-8.3222,1.8375
398,-8.2889,1.8793
399,-8.2549,1.9208
400,-8.2206,1.9615
401,-8.1856,2.002
402,-8.1501,2.0418
403,-8.1139,2.0813
404,-8.0772,2.1202
405,-8.0396,2.1589
406,-8.0015,2.1969
407,-7.9623,2.2347
408,-7.9223,2.272
409,-7.8808,2.3094
410,-7.8382,2.3464
411,-7.795,2.3828
412,-7.7505,2.4189
413,-7.705,2.4546
414,-7.658,2.4901
415,-7.6097,2.5253
416,-7.5599,2.5602
417,-7.5091,2.5945
418,-7.4571,2.6284
419,-7.4044,2.6616
420,-7.3508,2.6942
421,-7.2955,2.7264
422,-7.2395,2.7578
423,-7.1823,2.7888
424,-7.1234,2.8192
425,-7.0633,2.8491
426,-7.0017,2.8783
427,-6.9391,2.9069
428,-6.8749,2.9348
429,-6.8099,2.9619
430,-6.7446,2.9879
431,-6.6786,3.0131
432,-6.6117,3.0373
433,-6.5432,3.0607
434,-6.4738,3.0832
435,-6.4043,3.1045
436,-6.3342,3.1248
437,-6.2642,3.1438
438,-6.1938,3.1617
439,-6.1235,3.1784
440,-6.0528,3.1938
441,-5.9824,3.2081
442,-5.9116,3.221
443,-5.8408,3.2327
444,-5.7693,3.2431
445,-5.6977,3.2521
446,-5.6265,3.2599
447,-5.5552,3.2663
448,-5.484,3.2713
449,-5.4124,3.275
450,-5.3409,3.2772
451,-5.2691,3.2781
452,-5.1976,3.2776
453,-5.126,3.2756
454,-5.0541,3.2721
455,-4.9825,3.2673
456,-4.9108,3.261
457,-4.8387,3.2532
458,-4.767,3.244
459,-4.6956,3.2335
460,-4.6249,3.2218
461,-4.5546,3.2087
462,-4.485,3.1945
463,-4.4156,3.179
464,-4.3465,3.1621
465,-4.2771,3.1437
466,-4.2079,3.1239
