t,inp,resp,fit
2.42,5.35200014145109,2.55439053886512,2.55397776457206
2.44,5.35200001148575,2.5373969195622,2.55829926692214
2.46,5.35199993165318,2.5400749548317,2.56165323664546
2.48,5.3520001601196,2.57887763692214,2.56425630157005
2.5,5.35200006653495,2.76099776110279,2.66487840236043
2.52,5.351999888633,3.07051165343898,3.01093793371346
2.54,5.35200009997485,3.32658693628002,3.46380663439081
2.56,5.35200013026353,3.60640133173741,3.81528406107099
2.58,5.35200006169315,3.96515145904592,4.08807037482351
2.6,5.35200006333814,4.19967724931758,4.29978352854789
2.62,5.35200006333814,4.37645496922152,4.46409691833106
2.64,5.35199997266193,4.49022505628391,4.59162269976735
2.66,5.35199998452824,4.67456034349333,4.69059720843036
2.68,5.35200004082302,4.74620802520085,4.7674126544013
2.7,5.35199993873499,4.73714259065465,4.82703013470415
2.72,5.3519999138832,4.81439078305422,4.87330005867788
2.74,5.35199990270393,4.87411433379227,4.90921076536376
2.76,5.35199992800281,4.99283886178103,4.93708152590235
2.78,5.35199995042767,4.99965812537149,4.95871239832386
2.8,5.35199986967857,5.0140107903671,4.97550041949753
2.82,5.35199987618978,4.99219700241604,4.98852980571158
2.84,5.35199991861348,4.97302681191111,4.9986420813393
2.86,5.35199996103718,4.96203109814938,5.0064903513144
2.88,5.35200001043337,4.97638782859519,5.012581503911
2.9,5.35200006144733,4.97306573261883,5.01730893361
2.92,5.35199983347804,4.98586120447162,5.02097793800791
2.94,2.81136149814883,5.00697738812811,5.02382550275163
2.96,-0.516865050812546,5.0475097453342,5.02603554475814
2.98,-3.84509159977392,5.04135008476085,5.02775079684378
3,-3.88799993798343,4.86842807275051,5.02908203732404
3.02,-3.88799988409129,4.63277971416451,5.03011524160329
3.04,-3.88799982261471,4.63277971416451,5.03091707725594
3.06,-3.88799976004211,2.84517341910114,4.49655396266425
3.08,-3.88799986977328,1.33336114149814,3.38099872733003
3.1,-3.88799983049026,0.388815043238405,1.8143725157828
3.12,-3.88799986567234,-0.420298920669037,0.589457702057571
3.14,-3.88799989868309,-1.08816341424951,-0.361215052252074
3.16,-3.88799997134651,-1.68352271810578,-1.09904487567441
3.18,-3.88800005466292,-2.20969222182182,-1.67168445421376
3.2,-3.88800003771265,-2.56202167825356,-2.11611771117036
3.22,-3.8880000005675,-2.76648026004395,-2.46104829628096
3.24,-3.88800002635747,-2.97196903417339,-2.72875354297021
3.26,-3.88800007590271,-3.10677042178653,-2.93652317144887
3.28,-3.88800007168551,-3.18399132072396,-3.09777597356577
3.3,-3.88799987209795,-3.34622455546507,-3.22292644699526
3.32,-3.88799986649085,-3.39471421712384,-3.32005739928144
3.34,-3.88799996110888,-3.44530060432473,-3.3954420222979
3.36,-3.88799997955849,-3.50275561983286,-3.45394904164338
3.38,-3.88799998785873,-3.56921712324835,-3.49935713210618
3.4,-3.887999967248,-3.59759319652132,-3.53459895739236
3.42,-3.8879999726841,-3.56518311144746,-3.56195056719921
3.44,-3.919641015697,-3.54753995796577,-3.58317851611669
3.46,-3.98482160597221,-3.53319416055195,-3.59965383104105
3.48,-4.03199995512379,-3.54146051698057,-3.61244054713547
3.5,-4.03199997110779,-3.54890792813712,-3.6223644902194
3.52,-4.03200004449143,-3.56459407957664,-3.630066590803
3.54,-4.03200012257108,-3.58774995271081,-3.63604429519786
3.56,-4.03199993680527,-3.58677236267332,-3.64734636598388
3.58,-4.03199990798976,-3.57103443141981,-3.669843213638
3.6,-4.0319998632596,-3.54854019780003,-3.69723772260949
3.62,-4.03199981852943,-3.55938295715895,-3.71849897068872
3.64,-4.03199995920886,-3.61342989435942,-3.73500012506641
3.66,-4.03200002321009,-3.68036918396413,-3.74780690806246
3.68,-4.03199993660008,-3.73582341266141,-3.75774638447231
3.7,-4.03199981899692,-3.7854096845154,-3.76546053895018
3.72,-4.03199985170505,-3.82813967141008,-3.77144758796998
3.74,-4.03200020162797,-3.85457207528521,-3.7760942073501
3.76,-4.03200022245764,-3.82645427879248,-3.77970054040548
3.78,-4.03200015695912,-3.77531225651511,-3.78249947718801
3.8,-4.03199997326075,-3.80810226836166,-3.78467175121283
3.82,-4.03199993186877,-3.76663498977988,-3.7863576573658
3.84,-4.03199992368403,-3.70376195601872,-3.78766611856131
3.86,-4.03200002239117,-3.68927071276084,-3.78868170647471
3.88,-4.03200008395602,-3.68760162574264,-3.78946992222017
3.9,-4.03200015234842,-3.68374196579076,-3.79008165320761
3.92,-4.03200012872739,-3.68475581310405,-3.790556387125
3.94,-4.03199995443074,-3.68495950719419,-3.79092482575015
3.96,-4.03199995461709,-3.63221301389792,-3.79121077417017
3.98,-4.0320001059895,-3.59639608680816,-3.79143272334734
4,-3.96730354991757,-3.56044988588053,-3.79160499403528
4.02,-3.1680001055514,-3.59228655742391,-3.79173871002116
4.04,-3.1680001055514,-3.61200470442807,-3.79184248381184
4.06,-3.16800010124596,-3.58882368659151,-3.79192298733652
4.08,-3.16800008117728,-3.57317830367298,-3.7919854672377
4.1,-3.16800000755594,-3.56717359129642,-3.79203399059912
4.12,-3.16799996046382,-3.4978411059245,-3.77844841453007
4.14,-3.16800012573868,-3.49207429508769,-3.59959412932503
4.16,-3.16800005910997,-3.32741091235615,-3.46078292705986
4.18,-3.16799998150705,-3.3054950500153,-3.35304969598652
4.2,-3.16799992516124,-3.23774660940479,-3.2694364905893
4.22,-3.16799996575821,-3.17275114642913,-3.20454314835922
4.24,-3.16799993161657,-3.12175629715011,-3.15417854782868
4.26,-3.16799991175136,-3.05996910972383,-3.11508994271797
4.28,-3.16799997359083,-2.98121343081321,-3.08475273959528
4.3,-3.16800008783902,-2.93529258018427,-3.06120761426243
4.32,-3.16800003426506,-2.94244056704013,-3.04293391579743
4.34,-3.16799998448202,-2.94391967746775,-3.02875146262387
4.36,-3.16800000905109,-2.90377040316982,-3.01774426388852
4.38,-3.16800002408245,-2.95221017690773,-3.00920142558622
4.4,-3.16800006417016,-2.93215904196762,-3.00257122757241
4.42,-3.16800008858471,-2.92090020429334,-2.9974254662968
4.44,-3.16799989273461,-2.93439775212891,-2.99343176088404
4.46,-3.16799999161024,-2.95185455751262,-2.99033218222922
4.48,-3.16800004268065,-2.94255118256872,-2.9879265629633
4.5,-3.16800003406444,-2.96330016766538,-2.98605953284989
4.52,-3.16800002188722,-2.9632834409623,-2.98461051425554
4.54,-1.45105181005668,-2.96668971018867,-2.98348591669018
4.56,-0.192000003086291,-2.9456280406527,-2.98261306024195
4.58,-0.191999997345131,-2.97400148771491,-2.9819356455016
4.6,-0.191999986051877,-2.96776673454028,-2.98140990561765
4.62,-0.191999989899579,-2.77911452641764,-2.98100187004956
4.64,-0.191999998605105,-2.54592530351719,-2.98068518562501
4.66,-0.192000006553824,-2.3448086000782,-2.61889944449734
4.68,-0.191999999752734,-1.76975134430606,-2.07299256067678
4.7,-0.191999983547388,-1.54845470794331,-1.64930692744011
4.72,-0.191999986769225,-1.23761935771692,-1.32047883987172
4.74,-0.191999991454254,-1.0362577111372,-1.06527096505515
4.76,-0.191999993910802,-0.78159258443722,-0.867200722777461
4.78,-0.191999993833267,-0.665770725818981,-0.7134757609593
4.8,-0.191999994878608,-0.607429416147723,-0.594167761154746
4.82,-0.191999996248888,-0.510974795433629,-0.501571223788832
4.84,-0.191999993599424,-0.424039795684914,-0.429705813679816
4.86,-0.19199998496235,-0.359478836294725,-0.373930108945481
4.88,-0.191999990325858,-0.294089902028694,-0.330641839223751
4.9,-0.191999996362678,-0.260994339929404,-0.297045234255165
4.92,-0.191999991163262,-0.219489011879069,-0.270970460128272
4.94,-0.191999996575131,-0.242788640841201,-0.250733479562832
4.96,-0.192000005484361,-0.239602287338418,-0.235027287792988
4.98,-0.191999990719003,-0.234272304379905,-0.222837500529207
5,-0.191999983327846,-0.256205347191703,-0.213376844769663
5.02,-0.191999990164893,-0.263245263914923,-0.206034304604425
5.04,-0.191999974492814,-0.257028615875166,-0.200335659907895
5.06,-0.191999999934612,-0.258108238905312,-0.195912866700112
5.08,6.61971683496384,-0.225079925385074,-0.192480279629004
5.1,11.5680003505853,-0.296317924582613,-0.189816199795743
5.12,11.5680005515455,-0.289027615151176,-0.187748570258525
5.14,11.5680004818603,-0.168220286327423,-0.186143856767444
5.16,11.5680000726664,0.31388754933027,-0.184898413869792
5.18,11.5679998557167,1.24354149200908,-0.183931814341022
5.2,11.5679998832469,2.26808102701706,1.25117021201153
5.22,11.5680001866877,3.62676756287898,3.40693840681012
5.24,11.5679999716531,5.33964047136249,5.08005897057207
5.26,11.568000115615,6.28191509105463,6.37859019726131
5.28,11.5680001743286,7.45327170029914,7.38639755920446
5.3,11.5680002518464,8.35831597180617,8.16857028283798
5.32,11.5680002581341,8.81330095455832,8.77562499812734
5.34,11.567999867353,9.31780411028356,9.24676834368104
5.36,11.5680005728215,9.55926853444631,9.61242894869271
5.38,11.5680001528697,9.73966102051872,9.89622306392078
5.4,11.5679999964471,9.97667092737652,10.1164794838141
5.42,11.568000135301,10.132464929318,10.2874234527349
5.44,11.5680001435842,10.3155735661,10.4200953540846
5.46,11.5680001349609,10.4577348010796,10.523063708433
5.48,11.5680002662655,10.471401585674,10.6029789736168
5.5,11.5680002851114,10.5495489819509,10.6650021910686
5.52,11.5680001825744,10.6789388594291,10.713139206527
5.54,11.5680000800374,10.7241444770792,10.7504990171183
5.56,11.5679996871305,10.7313383791958,10.7794944674123
5.58,11.5679998640155,10.7434976263892,10.8019982222771
5.6,11.5680000097517,10.7681321739765,10.8194637149814
5.62,6.29281907989154,10.7938157209128,10.8330189213743
